File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
src/error_estimation/exact_error_estimator.C,6c4da39,6.0,25.0,7.0,119.0,353.0,115.0,4.0,4.0,5.0,1.0,38.0,6.0,21.0,7.0,0.0,13.0,579.0,113.0,272.0,93.0,184.0,106.0,62.0,34.0,155.0,212.0,64.0,1.0,147.0,16.0,16.0,18.0,3.0,4.0,0.39,56.0,56.0,64.0,15.0,1.0
src/utils/number_lookups.C,6c4da39,0.0,0.0,0.0,45.0,358.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,45.0,357.0,357.0,354.0,19.0,0.0,1.0,7.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0
src/quadrature/quadrature_gauss_lobatto_3D.C,6c4da39,1.0,18.0,6.0,10.0,22.0,21.0,4.0,2.0,4.0,1.0,25.0,1.0,18.0,6.0,0.0,1.0,52.0,10.0,21.0,6.0,9.0,21.0,0.0,1.0,5.0,11.0,3.0,0.0,8.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0
src/fe/fe_scalar_shape_2D.C,6c4da39,0.0,8.0,0.0,16.0,57.0,16.0,1.0,1.0,1.0,1.0,8.0,0.0,8.0,0.0,0.0,5.0,88.0,16.0,55.0,37.0,5.0,16.0,0.0,2.0,6.0,16.0,11.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.29,5.0,5.0,5.0,5.0,1.0
examples/fem_system/fem_system_ex3/elasticity_system.C,6c4da39,9.0,33.0,3.0,64.0,208.0,33.0,4.0,4.0,4.0,1.0,45.0,9.0,33.0,3.0,0.0,6.0,304.0,64.0,201.0,65.0,130.0,33.0,0.0,7.0,154.0,178.0,61.0,0.0,117.0,11.0,11.0,11.0,1.0,6.0,0.16,23.0,23.0,23.0,6.0,1.0
src/fe/fe_l2_hierarchic_shape_3D.C,6c4da39,8.0,93.0,13.0,86.0,671.0,109.0,14.0,13.0,14.0,1.0,113.0,6.0,85.0,12.0,0.0,7.0,864.0,70.0,612.0,71.0,365.0,104.0,73.0,7.0,246.0,352.0,33.0,0.0,319.0,87.0,87.0,87.0,1.0,3.0,0.17,99.0,94.0,99.0,7.0,1.0
examples/systems_of_equations/systems_of_equations_ex8/augment_sparsity_on_contact.C,6c4da39,2.0,14.0,0.0,18.0,74.0,4.0,2.0,2.0,2.0,1.0,16.0,2.0,14.0,0.0,0.0,5.0,96.0,18.0,70.0,33.0,31.0,4.0,0.0,4.0,28.0,39.0,19.0,1.0,19.0,5.0,5.0,7.0,1.0,3.0,0.06,10.0,10.0,12.0,5.0,1.0
src/fe/fe_szabab_shape_1D.C,6c4da39,0.0,0.0,0.0,48.0,112.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,8.0,0.0,0.0,0.0,16.0,173.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/geom/cell.C,6c4da39,0.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/geom/edge_edge3.C,6c4da39,1.0,10.0,2.0,47.0,119.0,48.0,2.0,2.0,2.0,1.0,14.0,1.0,10.0,2.0,0.0,10.0,207.0,44.0,103.0,27.0,57.0,38.0,20.0,3.0,42.0,62.0,20.0,0.0,42.0,5.0,3.0,5.0,5.0,2.0,0.37,17.0,15.0,17.0,14.0,1.0
