File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
CpuGBSAOBCForce.cpp,427,34,31,359,261,172,181,174,0.09,14,4,4,4,2,27,25,1,1,0
CpuGBSAOBCForce.h,138,73,21,37,0,34,0,33,1.97,0,0,0,0,0,0,0,0,0,0
cpuinfo.cpp,79,18,13,14,3,5,3,7,1.29,3,1,1,1,1,9,3,0,0,0
cpuinfo.h,147,66,34,43,13,34,12,27,1.53,10,1,1,1,1,2,2,0,0,0
CpuKernelFactory.cpp,61,30,3,23,20,2,20,3,1.3,1,10,10,10,10,22,22,0,0,0
CpuKernelFactory.h,50,35,7,6,0,4,0,3,5.83,0,0,0,0,0,0,0,0,0,0
CpuKernels.cpp,1136,78,128,910,632,306,598,305,0.09,52,4,4,5,1,19,17,1,1,0
CpuKernels.h,438,249,15,162,0,129,0,122,1.54,6,1,1,1,1,3,3,0,0,0
CpuLangevinDynamics.cpp,124,27,19,76,36,34,28,33,0.36,10,1,1,1,1,8,7,0,1,0
CpuLangevinDynamics.h,100,59,11,25,0,22,0,19,2.36,0,0,0,0,0,0,0,0,0,0
CpuNeighborList.cpp,547,71,57,414,285,155,224,151,0.17,18,5,5,5,1,25,22,1,2,0
CpuNeighborList.h,81,36,6,31,0,28,0,26,1.16,0,0,0,0,0,0,0,0,0,0
CpuNonbondedForce.cpp,485,87,69,320,231,114,189,113,0.27,16,4,4,5,1,23,20,1,2,0
CpuNonbondedForce.h,251,148,39,55,2,52,0,48,2.69,0,0,0,0,0,0,0,0,0,0
CpuNonbondedForceVec4.cpp,422,53,49,319,243,120,170,119,0.17,9,7,7,8,1,41,35,3,4,0
CpuNonbondedForceVec4.h,102,65,18,17,0,14,0,10,3.82,0,0,0,0,0,0,0,0,0,0
CpuNonbondedForceVec8.cpp,467,22,6,8,2,2,4,4,2.75,2,1,1,1,1,3,3,0,0,0
CpuNonbondedForceVec8.h,103,24,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
CpuPlatform.cpp,142,31,15,80,51,28,42,30,0.39,11,2,2,2,1,7,7,0,0,0
CpuPlatform.h,93,42,8,35,4,26,2,25,1.2,2,1,1,1,1,4,4,0,0,0
CpuPmeKernelFactory.cpp,59,25,5,18,8,6,9,10,1.39,4,2,2,2,1,4,4,0,0,0
