File,Cyclomatic,Modified,Strict,Essential,Lines,Code,Comment,Blank,bug
LocalEnergyMinimizer.cpp,6,6,6,2,45,37,4,5,0
LocalEnergyMinimizer.h,0,0,0,0,0,0,0,0,0
lock.h,1,1,1,1,2,2,0,0,0
logger.cpp,2,2,2,1,7,6,0,1,0
logger.h,1,1,1,1,3,3,0,0,0
Integrator.cpp,1,1,1,1,4,3,1,0,0
Integrator.h,1,1,1,1,2,2,0,0,0
intutil.cpp,0,0,0,0,0,0,0,0,0
intutil.h,1,1,2,1,5,4,0,0,0
irrArray.h,2,2,2,1,8,7,1,1,0
irrString.h,3,3,3,1,11,9,0,2,0
irrTypes.h,0,0,0,0,0,0,0,0,0
irrXML.cpp,1,1,1,1,5,5,0,0,0
irrXML.h,1,1,1,1,1,1,0,0,0
g_fmt.cpp,17,17,19,5,70,61,2,1,0
GBSAOBCForce.cpp,1,1,1,1,4,4,0,0,0
GBSAOBCForce.h,1,1,1,1,3,3,0,0,0
GBSAOBCForceImpl.cpp,2,2,2,1,6,6,0,0,0
GBSAOBCForceImpl.h,1,1,1,1,3,3,1,0,0
GBSAOBCForceProxy.cpp,3,3,3,1,14,14,0,0,0
GBSAOBCForceProxy.h,0,0,0,0,0,0,0,0,0
globals.cpp,1,1,1,1,4,4,0,0,0
globals.h,1,1,1,1,1,1,0,0,0
gmx_atomic.h,1,1,1,1,13,10,1,1,0
fast_atof.h,4,4,4,1,30,23,0,7,0
fftpack.cpp,7,7,8,1,58,51,2,4,0
fftpack.h,1,1,1,1,3,3,0,0,0
Force.cpp,2,2,2,1,5,5,0,0,0
Force.h,1,1,1,1,2,2,0,0,0
ForceImpl.h,1,1,1,1,3,3,0,0,0
SerializationNode.cpp,2,2,2,1,5,5,0,0,0
SerializationNode.h,2,2,2,1,6,6,0,0,0
SerializationProxy.cpp,1,1,1,1,4,4,0,0,0
SerializationProxy.h,1,1,1,1,2,2,0,0,0
SerializationProxyRegistration.cpp,2,2,2,1,22,22,0,0,0
SFMT-alti.h,3,3,3,1,23,20,0,1,0
SFMT-params.h,0,0,0,0,0,0,0,0,0
SFMT-params11213.h,0,0,0,0,0,0,0,0,0
SFMT-params1279.h,0,0,0,0,0,0,0,0,0
SFMT-params132049.h,0,0,0,0,0,0,0,0,0
SFMT-params19937.h,0,0,0,0,0,0,0,0,0
SFMT-params216091.h,0,0,0,0,0,0,0,0,0
SFMT-params2281.h,0,0,0,0,0,0,0,0,0
SFMT-params4253.h,0,0,0,0,0,0,0,0,0
SFMT-params44497.h,0,0,0,0,0,0,0,0,0
SFMT-params607.h,0,0,0,0,0,0,0,0,0
SFMT-params86243.h,0,0,0,0,0,0,0,0,0
SFMT-sse2.h,3,3,3,1,26,25,0,1,0
SFMT.cpp,2,2,2,1,13,12,0,1,0
SFMT.h,1,1,1,1,4,4,0,0,0
SHA1.cpp,3,3,3,1,19,15,1,3,0
SHA1.h,0,0,0,0,0,0,0,0,0
SimTKOpenMMRealType.h,0,0,0,0,0,0,0,0,0
SimTKOpenMMUtilities.cpp,3,3,3,1,19,12,2,4,0
SimTKOpenMMUtilities.h,1,1,1,1,1,1,0,0,0
SplineFitter.cpp,10,10,12,1,61,52,3,6,0
SplineFitter.h,0,0,0,0,0,0,0,0,0
sse_mathfun.h,1,1,1,1,108,50,12,12,0
State.cpp,1,1,1,1,4,4,0,0,0
State.h,0,0,0,0,0,0,0,0,0
StateProxy.cpp,8,8,8,1,41,40,1,0,0
StateProxy.h,0,0,0,0,0,0,0,0,0
string.cpp,4,4,5,2,23,16,2,5,0
string.h,1,1,1,1,5,4,0,1,0
System.cpp,2,2,3,1,6,6,0,0,0
System.h,1,1,1,1,3,3,0,0,0
SystemProxy.cpp,7,7,7,1,34,34,0,0,0
SystemProxy.h,0,0,0,0,0,0,0,0,0
cl.hpp,2,2,2,1,13,11,0,1,0
CMAPTorsionForce.cpp,2,2,2,1,6,6,0,0,0
CMAPTorsionForce.h,1,1,1,1,3,3,0,0,0
CMAPTorsionForceImpl.cpp,3,3,3,1,16,14,1,1,0
CMAPTorsionForceImpl.h,1,1,1,1,3,3,1,0,0
CMAPTorsionForceProxy.cpp,4,4,4,1,17,17,0,0,0
CMAPTorsionForceProxy.h,0,0,0,0,0,0,0,0,0
CMMotionRemover.cpp,1,1,1,1,3,3,0,0,0
CMMotionRemover.h,1,1,1,1,3,3,0,0,0
CMMotionRemoverImpl.cpp,1,1,1,1,4,4,0,0,0
CMMotionRemoverImpl.h,1,1,1,1,3,3,1,0,0
CMMotionRemoverProxy.cpp,2,2,2,1,8,8,0,0,0
CMMotionRemoverProxy.h,0,0,0,0,0,0,0,0,0
codegen.cpp,3,3,3,1,14,10,1,2,0
codegen.h,1,1,1,1,3,3,0,0,0
CompiledExpression.cpp,3,3,3,1,11,9,1,1,0
CompiledExpression.h,0,0,0,0,0,0,0,0,0
CompiledExpressionSet.cpp,2,2,2,1,5,5,0,0,0
CompiledExpressionSet.h,0,0,0,0,0,0,0,0,0
compiler.cpp,2,2,3,1,14,11,0,2,0
compiler.h,1,1,1,1,3,2,0,0,0
CompoundIntegrator.cpp,2,2,2,1,4,4,0,0,0
CompoundIntegrator.h,0,0,0,0,0,0,0,0,0
CompoundIntegratorProxy.cpp,2,2,2,1,6,6,0,0,0
CompoundIntegratorProxy.h,0,0,0,0,0,0,0,0,0
config.h,0,0,0,0,0,0,0,0,0
constpool.cpp,4,4,4,2,21,16,1,4,0
constpool.h,2,2,2,1,7,6,0,1,0
containers.cpp,6,6,6,4,25,19,1,5,0
containers.h,1,1,1,1,4,4,0,0,0
context.cpp,8,7,8,5,40,30,2,8,0
Context.cpp,2,2,2,1,7,6,0,0,0
Context.h,0,0,0,0,0,0,0,0,0
context_p.h,1,1,1,1,3,3,0,0,0
ContextImpl.cpp,3,3,3,1,11,10,1,1,0
ContextImpl.h,1,1,1,1,3,3,0,0,0
CpuBondForce.cpp,4,4,5,2,21,15,2,3,0
CpuBondForce.h,0,0,0,0,0,0,0,0,0
CpuCustomGBForce.cpp,6,6,7,2,31,27,2,2,0
CpuCustomGBForce.h,0,0,0,0,0,0,0,0,0
CpuCustomManyParticleForce.cpp,5,5,5,1,25,21,1,2,0
CpuCustomManyParticleForce.h,0,0,0,0,0,0,0,0,0
CpuCustomNonbondedForce.cpp,4,4,4,2,18,16,1,1,0
CpuCustomNonbondedForce.h,0,0,0,0,0,0,0,0,0
CpuGBSAOBCForce.cpp,4,4,4,2,27,25,1,1,0
CpuGBSAOBCForce.h,0,0,0,0,0,0,0,0,0
cpuinfo.cpp,1,1,1,1,9,3,0,0,0
cpuinfo.h,1,1,1,1,2,2,0,0,0
CpuKernelFactory.cpp,11,11,11,11,24,24,0,0,0
CpuKernelFactory.h,0,0,0,0,0,0,0,0,0
CpuKernels.cpp,4,4,5,1,19,17,1,1,0
CpuKernels.h,1,1,1,1,3,3,0,0,0
CpuLangevinDynamics.cpp,1,1,1,1,8,7,0,1,0
CpuLangevinDynamics.h,0,0,0,0,0,0,0,0,0
CpuNeighborList.cpp,5,5,6,1,26,23,1,2,1
CpuNeighborList.h,0,0,0,0,0,0,0,0,0
CpuNonbondedForce.cpp,5,5,5,1,24,20,1,3,0
CpuNonbondedForce.h,0,0,0,0,0,0,0,0,0
CpuNonbondedForceVec4.cpp,7,7,8,1,41,35,3,4,0
CpuNonbondedForceVec4.h,0,0,0,0,0,0,0,0,0
CpuNonbondedForceVec8.cpp,1,1,1,1,3,3,0,0,0
CpuNonbondedForceVec8.h,0,0,0,0,0,0,0,0,0
CpuPlatform.cpp,2,2,2,1,7,7,0,0,0
CpuPlatform.h,1,1,1,1,4,4,0,0,0
CpuPmeKernelFactory.cpp,2,2,2,1,4,4,0,0,0
