File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
metis_partitioner.h,3636,0.0,2.0,0.0,20.0,21.0,33.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,72.0,20.0,17.0,11.0,2.0,33.0,0.0,4.0,5.0,9.0,7.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.94,3.0,3.0,3.0,3.0,11,10.0,12
xdr_head.C,3639,1.0,12.0,0.0,16.0,41.0,17.0,2.0,2.0,2.0,1.0,13.0,1.0,12.0,0.0,0.0,3.0,73.0,16.0,40.0,8.0,26.0,17.0,0.0,1.0,24.0,30.0,6.0,0.0,24.0,3.0,3.0,3.0,1.0,2.0,0.42,5.0,5.0,5.0,3.0,7,7.0,8
enum_parallel_type.h,3640,0.0,0.0,0.0,14.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,14.0,8.0,7.0,0.0,23.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,7,6.0,8
ex_put_entity_count_per_polyhedra.c,3641,4.0,63.0,2.0,7.0,67.0,50.0,7.0,6.0,7.0,7.0,68.0,4.0,63.0,2.0,0.0,1.0,122.0,7.0,63.0,6.0,46.0,50.0,0.0,4.0,28.0,36.0,3.0,0.0,33.0,7.0,6.0,7.0,7.0,2.0,0.79,7.0,6.0,7.0,7.0,0,0.0,0
boundary_info.C,3642,6.0,25.0,6.0,311.0,909.0,223.0,4.0,4.0,5.0,2.0,36.0,6.0,23.0,5.0,0.0,36.0,1431.0,303.0,824.0,170.0,526.0,210.0,82.0,24.0,416.0,575.0,122.0,27.0,426.0,35.0,35.0,39.0,19.0,6.0,0.25,158.0,158.0,166.0,85.0,53,64.0,51
trilinos_epetra_matrix.h,3643,0.0,0.0,0.0,56.0,75.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,8.0,0.0,0.0,0.0,15.0,314.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9.0,12
KdBVH.h,3645,1.0,8.0,1.0,34.0,150.0,55.0,2.0,2.0,2.0,1.0,8.0,1.0,8.0,1.0,1.0,14.0,222.0,34.0,147.0,61.0,74.0,55.0,0.0,3.0,93.0,119.0,54.0,0.0,65.0,5.0,5.0,5.0,1.0,2.0,0.37,24.0,24.0,24.0,14.0,8,2.0,6
bsd.hpp,3646,0.0,0.0,0.0,16.0,39.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,16.0,0.0,0.0,0.0,27.0,14.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
fe_szabab_shape_1D.C,3647,0.0,0.0,0.0,50.0,114.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,8.0,0.0,0.0,0.0,16.0,189.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7.0,9
null_output_iterator.h,3649,0.0,2.0,0.0,16.0,21.0,21.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,56.0,16.0,17.0,10.0,3.0,21.0,0.0,4.0,4.0,9.0,6.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.24,4.0,4.0,4.0,4.0,8,7.0,9
ocuri.c,3650,3.0,29.0,3.0,90.0,560.0,104.0,9.0,9.0,11.0,3.0,33.0,3.0,28.0,3.0,0.0,16.0,737.0,87.0,454.0,106.0,316.0,87.0,98.0,31.0,300.0,430.0,80.0,2.0,348.0,34.0,34.0,42.0,14.0,4.0,0.19,145.0,145.0,172.0,51.0,28,20.0,24
Minor.h,3651,0.0,5.0,0.0,16.0,67.0,37.0,1.0,1.0,2.0,1.0,5.0,0.0,5.0,0.0,1.0,5.0,117.0,16.0,64.0,46.0,6.0,37.0,0.0,3.0,16.0,39.0,34.0,0.0,5.0,1.0,1.0,4.0,1.0,0.0,0.58,5.0,5.0,8.0,5.0,8,2.0,6
SelfCwiseBinaryOp.h,3652,0.0,5.0,0.0,26.0,135.0,35.0,1.0,1.0,2.0,1.0,5.0,0.0,5.0,0.0,1.0,20.0,194.0,26.0,127.0,55.0,43.0,35.0,1.0,7.0,48.0,74.0,41.0,0.0,33.0,2.0,2.0,4.0,1.0,0.0,0.28,21.0,21.0,30.0,20.0,9,2.0,7
ex_put_var_tab.c,3653,0.0,10.0,0.0,3.0,13.0,68.0,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,0.0,1.0,84.0,3.0,10.0,6.0,2.0,68.0,0.0,3.0,3.0,4.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,6.8,1.0,1.0,1.0,1.0,0,0.0,0
face_inf_quad.C,3654,0.0,0.0,0.0,62.0,134.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,5.0,0.0,0.0,0.0,15.0,197.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,14.0,15
emalloc.c,3655,2.0,18.0,1.0,6.0,40.0,8.0,4.0,4.0,4.0,2.0,19.0,2.0,18.0,1.0,0.0,2.0,52.0,6.0,35.0,9.0,18.0,8.0,0.0,5.0,18.0,22.0,4.0,0.0,18.0,4.0,4.0,4.0,3.0,1.0,0.23,7.0,7.0,7.0,4.0,14,10.0,12
