File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
TestCudaPeriodicTorsionForce.cpp,138,34,11,84,60,40,81,49,0.4,3,10,10,14,1,28,27,0,1,0
TestCudaRandom.cpp,149,37,15,87,66,46,69,46,0.43,3,8,8,8,1,32,28,1,2,0
TestCudaRBTorsionForce.cpp,157,34,11,103,75,51,93,60,0.33,3,11,11,16,1,34,33,0,1,0
TestCudaRpmd.cpp,594,49,45,485,377,264,343,249,0.1,9,11,11,12,1,59,54,2,4,0
TestCudaSettle.cpp,119,34,10,66,48,22,46,24,0.52,2,5,5,5,1,34,32,1,2,0
TestCudaSort.cpp,135,36,18,72,45,30,50,30,0.5,13,2,2,2,1,6,5,0,1,0
TestCudaVariableLangevinIntegrator.cpp,339,51,40,242,185,101,185,107,0.21,7,8,8,9,1,40,34,3,4,0
TestCudaVariableVerletIntegrator.cpp,317,47,32,232,180,96,185,102,0.2,6,9,9,10,1,43,38,2,4,0
TestCudaVerletIntegrator.cpp,253,38,22,182,140,71,152,77,0.21,5,9,9,11,1,39,36,1,2,0
TestCudaVirtualSites.cpp,446,62,29,342,273,125,328,148,0.18,7,12,12,18,1,52,48,1,3,0
TestCudaWcaDispersionForce.cpp,202,40,38,102,77,33,79,35,0.39,3,6,6,6,1,47,33,2,9,0
TestFindExclusions.cpp,180,54,16,105,72,25,99,27,0.51,4,10,10,10,1,29,26,3,2,0
TestFindMolecules.cpp,81,30,4,38,25,15,32,17,0.79,2,6,6,6,1,18,18,0,0,0
TestOpenCLAndersenThermostat.cpp,220,40,23,146,116,52,107,54,0.27,4,8,8,8,1,41,36,2,4,0
TestOpenCLBrownianIntegrator.cpp,281,42,32,195,147,78,149,84,0.22,6,8,8,9,1,36,32,2,3,0
TestOpenCLCheckpoints.cpp,229,45,33,140,110,54,119,63,0.32,4,8,8,12,1,43,34,3,6,0
TestOpenCLCMAPTorsionForce.cpp,121,36,12,62,44,28,47,31,0.58,2,8,8,9,1,33,29,2,2,0
TestOpenCLCMMotionRemover.cpp,123,34,11,65,42,25,44,29,0.52,3,6,6,7,1,22,21,0,1,0
TestOpenCLCustomAngleForce.cpp,181,37,19,115,88,46,101,51,0.32,3,9,9,11,1,41,37,1,3,0
TestOpenCLCustomBondForce.cpp,182,34,12,127,95,52,125,63,0.27,4,9,9,14,1,32,31,0,1,0
TestOpenCLCustomCompoundBondForce.cpp,216,37,16,151,114,59,132,66,0.25,4,8,8,11,1,40,37,1,2,0
TestOpenCLCustomExternalForce.cpp,181,34,14,123,91,49,118,59,0.28,4,9,9,13,1,31,30,0,1,0
TestOpenCLCustomGBForce.cpp,482,45,27,406,328,142,333,150,0.11,7,12,11,15,1,60,57,2,2,0
TestOpenCLCustomHbondForce.cpp,249,37,19,181,147,62,181,75,0.2,5,9,9,13,1,38,35,1,2,0
TestOpenCLCustomIntegrator.cpp,781,92,62,616,504,241,584,261,0.15,14,13,13,16,1,48,44,2,3,0
TestOpenCLCustomNonbondedForce.cpp,743,58,57,619,488,243,554,271,0.09,15,9,9,13,1,45,41,2,2,0
TestOpenCLCustomTorsionForce.cpp,218,39,20,147,112,57,126,62,0.27,4,8,8,10,1,40,36,1,3,0
TestOpenCLDrudeForce.cpp,213,38,20,145,112,68,88,71,0.26,7,3,3,3,1,22,20,1,1,0
TestOpenCLDrudeLangevinIntegrator.cpp,192,45,18,123,100,56,84,59,0.37,3,6,6,6,1,46,40,4,4,0
TestOpenCLDrudeSCFIntegrator.cpp,144,41,9,88,71,30,69,33,0.47,2,9,9,9,1,46,43,4,2,0
TestOpenCLEwald.cpp,272,43,33,183,138,79,150,85,0.23,4,11,11,13,1,53,45,3,6,0
TestOpenCLFFT.cpp,115,35,10,59,40,21,50,23,0.59,2,8,8,8,1,31,28,1,2,0
TestOpenCLGBSAOBCForce.cpp,244,44,23,169,137,70,144,78,0.26,4,10,10,13,1,46,41,3,3,0
TestOpenCLGBSAOBCForce2.cpp,3548,639,524,1620,1081,518,831,475,0.39,55,6,5,6,1,43,27,1,6,0
TestOpenCLHarmonicAngleForce.cpp,143,36,11,89,65,43,83,52,0.4,3,10,10,14,1,29,28,1,1,0
TestOpenCLHarmonicBondForce.cpp,135,34,11,81,57,37,81,46,0.42,3,10,10,14,1,27,26,0,1,0
TestOpenCLLangevinIntegrator.cpp,284,43,31,199,149,79,155,85,0.22,6,8,8,10,1,38,33,2,3,0
TestOpenCLLocalEnergyMinimizer.cpp,216,41,27,137,107,52,95,55,0.3,4,5,5,6,1,41,34,3,5,0
TestOpenCLMonteCarloAnisotropicBarostat.cpp,400,79,34,276,215,106,211,108,0.29,5,11,11,12,1,65,55,6,5,0
