function,cyclomatic,modified,strict,essential,nesting,path_count,path_c_log,bug
OpenCLRBTorsionForceInfo::areGroupsIdentical,1,1,6,1,0,1,0,0
OpenCLRBTorsionForceInfo::getNumParticleGroups,1,1,1,1,0,1,0,0
OpenCLRBTorsionForceInfo::getParticlesInGroup,1,1,1,1,0,1,0,0
OpenCLRBTorsionForceInfo::OpenCLRBTorsionForceInfo,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::AlignedArray,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::AlignedArray,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::allocate,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::operator[],1,1,1,1,0,1,0,0
OpenMM::AlignedArray::operator[],1,1,1,1,0,1,0,0
OpenMM::AlignedArray::resize,3,3,3,1,1,3,0,0
OpenMM::AlignedArray::size,1,1,1,1,0,1,0,0
OpenMM::AlignedArray::~AlignedArray,2,2,2,1,1,2,0,0
OpenMM::AmoebaAngleForce::addAngle,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::AmoebaAngleForce,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::AngleInfo::AngleInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::AngleInfo::AngleInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::createImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAmoebaGlobalAngleCubic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAmoebaGlobalAnglePentic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAmoebaGlobalAngleQuartic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAmoebaGlobalAngleSextic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getAngleParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::getNumAngles,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAmoebaGlobalAngleCubic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAmoebaGlobalAnglePentic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAmoebaGlobalAngleQuartic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAmoebaGlobalAngleSextic,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setAngleParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::setUsesPeriodicBoundaryConditions,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::updateParametersInContext,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForce::usesPeriodicBoundaryConditions,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::AmoebaAngleForceImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::calcForcesAndEnergy,2,2,2,1,1,2,0,0
OpenMM::AmoebaAngleForceImpl::getDefaultParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::getKernelNames,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::getOwner,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::initialize,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::updateContextState,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::updateParametersInContext,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceImpl::~AmoebaAngleForceImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceProxy::AmoebaAngleForceProxy,1,1,1,1,0,1,0,0
OpenMM::AmoebaAngleForceProxy::deserialize,6,6,7,1,1,18,1,0
OpenMM::AmoebaAngleForceProxy::serialize,2,2,2,1,1,2,0,0
OpenMM::AmoebaBondForce::addBond,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::AmoebaBondForce,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::BondInfo::BondInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::BondInfo::BondInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::createImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::getAmoebaGlobalBondCubic,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::getAmoebaGlobalBondQuartic,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::getBondParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::getNumBonds,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::setAmoebaGlobalBondCubic,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::setAmoebaGlobalBondQuartic,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::setBondParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::setUsesPeriodicBoundaryConditions,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::updateParametersInContext,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForce::usesPeriodicBoundaryConditions,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceImpl::AmoebaBondForceImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceImpl::calcForcesAndEnergy,2,2,2,1,1,2,0,0
OpenMM::AmoebaBondForceImpl::getBondedParticles,2,2,2,1,1,2,0,0
OpenMM::AmoebaBondForceImpl::getDefaultParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceImpl::getKernelNames,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceImpl::getOwner,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceImpl::initialize,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceImpl::updateContextState,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceImpl::updateParametersInContext,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceImpl::~AmoebaBondForceImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceProxy::AmoebaBondForceProxy,1,1,1,1,0,1,0,0
OpenMM::AmoebaBondForceProxy::deserialize,6,6,7,1,1,18,1,0
OpenMM::AmoebaBondForceProxy::serialize,2,2,2,1,1,2,0,0
OpenMM::AmoebaCudaKernelFactory::createKernelImpl,12,12,12,12,1,12,1,0
OpenMM::AmoebaGeneralizedKirkwoodForce::addParticle,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::AmoebaGeneralizedKirkwoodForce,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::createImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::getIncludeCavityTerm,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::getNumParticles,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::getParticleParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::getProbeRadius,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::getSoluteDielectric,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::getSolventDielectric,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::getSurfaceAreaFactor,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::ParticleInfo::ParticleInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::ParticleInfo::ParticleInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::setIncludeCavityTerm,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::setParticleParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::setProbeRadius,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::setSoluteDielectric,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::setSolventDielectric,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::setSurfaceAreaFactor,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::updateParametersInContext,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForce::usesPeriodicBoundaryConditions,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::AmoebaGeneralizedKirkwoodForceImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::calcForcesAndEnergy,2,2,2,1,1,2,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::getDefaultParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::getKernel,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::getKernelNames,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::getOwner,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::initialize,3,3,3,1,1,4,1,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::updateContextState,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl::updateParametersInContext,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceProxy::AmoebaGeneralizedKirkwoodForceProxy,1,1,1,1,0,1,0,0
OpenMM::AmoebaGeneralizedKirkwoodForceProxy::deserialize,5,5,6,1,1,10,1,0
OpenMM::AmoebaGeneralizedKirkwoodForceProxy::serialize,2,2,2,1,1,2,0,0
OpenMM::AmoebaInPlaneAngleForce::addAngle,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::AmoebaInPlaneAngleForce,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::AngleInfo::AngleInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::AngleInfo::AngleInfo,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::createImpl,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::getAmoebaGlobalInPlaneAngleCubic,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::getAmoebaGlobalInPlaneAnglePentic,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::getAmoebaGlobalInPlaneAngleQuartic,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::getAmoebaGlobalInPlaneAngleSextic,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::getAngleParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::getNumAngles,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::setAmoebaGlobalInPlaneAngleCubic,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::setAmoebaGlobalInPlaneAnglePentic,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::setAmoebaGlobalInPlaneAngleQuartic,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::setAmoebaGlobalInPlaneAngleSextic,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::setAngleParameters,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::setUsesPeriodicBoundaryConditions,1,1,1,1,0,1,0,0
OpenMM::AmoebaInPlaneAngleForce::updateParametersInContext,1,1,1,1,0,1,0,0
