File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
contrib/netcdf/4.2.1.1/libdispatch/derror.c,0ebe32f,1.0,12.0,2.0,12.0,45.0,23.0,1.0,1.0,1.0,1.0,13.0,1.0,8.0,2.0,0.0,3.0,74.0,12.0,26.0,10.0,11.0,22.0,10.0,14.0,14.0,17.0,7.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.85,3.0,3.0,3.0,3.0,1.0
contrib/netcdf/4.2.1.1/nctest/error.c,0ebe32f,1.0,12.0,2.0,12.0,45.0,23.0,1.0,1.0,1.0,1.0,13.0,1.0,8.0,2.0,0.0,3.0,74.0,12.0,26.0,10.0,11.0,22.0,10.0,14.0,14.0,17.0,7.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.85,3.0,3.0,3.0,3.0,1.0
contrib/netcdf/4.3.0/libdispatch/derror.c,0ebe32f,1.0,12.0,2.0,12.0,45.0,23.0,1.0,1.0,1.0,1.0,13.0,1.0,8.0,2.0,0.0,3.0,74.0,12.0,26.0,10.0,11.0,22.0,10.0,14.0,14.0,17.0,7.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.85,3.0,3.0,3.0,3.0,1.0
contrib/netcdf/4.3.0/nc_test/error.c,0ebe32f,1.0,12.0,2.0,12.0,45.0,23.0,1.0,1.0,1.0,1.0,13.0,1.0,8.0,2.0,0.0,3.0,74.0,12.0,26.0,10.0,11.0,22.0,10.0,14.0,14.0,17.0,7.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.85,3.0,3.0,3.0,3.0,1.0
contrib/netcdf/4.3.0/nctest/error.c,0ebe32f,1.0,12.0,2.0,12.0,45.0,23.0,1.0,1.0,1.0,1.0,13.0,1.0,8.0,2.0,0.0,3.0,74.0,12.0,26.0,10.0,11.0,22.0,10.0,14.0,14.0,17.0,7.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.85,3.0,3.0,3.0,3.0,1.0
contrib/netcdf/4.2.1.1/libdispatch/ncaux.c,0ebe32f,2.0,22.0,1.0,48.0,294.0,64.0,6.0,5.0,6.0,2.0,25.0,2.0,22.0,1.0,0.0,10.0,390.0,48.0,269.0,125.0,162.0,64.0,0.0,25.0,363.0,423.0,165.0,29.0,229.0,17.0,8.0,17.0,7.0,2.0,0.24,62.0,46.0,62.0,27.0,1.0
contrib/netcdf/4.3.0/libdispatch/ncaux.c,0ebe32f,2.0,22.0,1.0,48.0,294.0,64.0,6.0,5.0,6.0,2.0,25.0,2.0,22.0,1.0,0.0,10.0,390.0,48.0,269.0,125.0,162.0,64.0,0.0,25.0,363.0,423.0,165.0,29.0,229.0,17.0,8.0,17.0,7.0,2.0,0.24,62.0,46.0,62.0,27.0,1.0
include/base/id_types.h,0ebe32f,0.0,0.0,0.0,22.0,70.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,22.0,9.0,9.0,0.0,25.0,35.0,36.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,0.0,0.0,1.0
contrib/netcdf/4.2.1.1/libsrc/attr.c,0ebe32f,3.0,25.0,1.0,168.0,926.0,86.0,8.0,6.0,9.0,3.0,28.0,3.0,25.0,1.0,0.0,35.0,1164.0,166.0,872.0,161.0,593.0,86.0,44.0,12.0,480.0,758.0,99.0,32.0,627.0,25.0,25.0,30.0,20.0,4.0,0.1,291.0,200.0,308.0,111.0,1.0
contrib/netcdf/4.2.1.1/libsrc4/nc4attr.c,0ebe32f,3.0,25.0,1.0,168.0,926.0,86.0,8.0,6.0,9.0,3.0,28.0,3.0,25.0,1.0,0.0,35.0,1164.0,166.0,872.0,161.0,593.0,86.0,44.0,12.0,480.0,758.0,99.0,32.0,627.0,25.0,25.0,30.0,20.0,4.0,0.1,291.0,200.0,308.0,111.0,1.0
contrib/netcdf/4.3.0/libsrc/attr.c,0ebe32f,3.0,25.0,1.0,168.0,926.0,86.0,8.0,6.0,9.0,3.0,28.0,3.0,25.0,1.0,0.0,35.0,1164.0,166.0,872.0,161.0,593.0,86.0,44.0,12.0,480.0,758.0,99.0,32.0,627.0,25.0,25.0,30.0,20.0,4.0,0.1,291.0,200.0,308.0,111.0,1.0
contrib/netcdf/4.3.0/libsrc4/nc4attr.c,0ebe32f,3.0,25.0,1.0,168.0,926.0,86.0,8.0,6.0,9.0,3.0,28.0,3.0,25.0,1.0,0.0,35.0,1164.0,166.0,872.0,161.0,593.0,86.0,44.0,12.0,480.0,758.0,99.0,32.0,627.0,25.0,25.0,30.0,20.0,4.0,0.1,291.0,200.0,308.0,111.0,1.0
